iter	Passed	Remaining
0	3	364
1	8	420
2	11	387
3	15	361
4	18	350
5	21	341
6	25	334
7	28	323
8	31	322
9	35	319
10	38	314
11	41	305
12	44	300
13	48	296
14	51	292
15	54	287
16	57	282
17	61	278
18	64	274
19	67	270
20	71	267
21	74	263
22	78	261
23	81	258
24	84	254
25	88	250
26	91	247
27	96	248
28	99	244
29	103	240
30	106	237
31	110	235
32	114	231
33	117	227
34	120	223
35	123	220
36	127	216
37	130	213
38	133	209
39	137	205
40	140	201
41	143	198
42	146	194
43	150	190
44	153	187
45	156	183
46	158	179
47	162	175
48	165	172
49	169	169
50	172	165
51	175	162
52	179	159
53	181	155
54	186	152
55	189	149
56	193	145
57	196	142
58	200	139
59	203	135
60	206	132
61	209	128
62	213	125
63	216	121
64	219	118
65	223	114
66	226	111
67	229	108
68	233	104
69	236	101
70	239	97
71	243	94
72	246	91
73	249	87
74	252	84
75	255	80
76	258	77
77	261	73
78	264	70
79	267	66
80	270	63
81	320	70
82	323	66
83	326	62
84	329	58
85	335	54
86	338	50
87	345	47
88	358	44
89	361	40
90	367	36
91	370	32
92	375	28
93	419	26
94	422	22
95	430	17
96	434	13
97	438	8
98	441	4
99	445	0
