C_S,L_R,A_I,N_R,N_S,D_R,C_R,M_U
0,13356.035,173.1518919,0,1,1,1.255,0
1,16703.844,171.5540366,0,1,1,1.469,0
0,22417.739,129.8957779,2,2,2,1.308,16703.844
1,4260.622,128.3883348,0,1,1,1.349,0
1,15054.686,171.3541209,0,1,1,1.337,0
0,3805.489,130.6148986,0,1,1,1.238,0
0,1669.689,136.6169991,0,1,1,1.163,0
1,8843.887,106.8093678,0,1,1,1.244,0
1,1052.899,108.1016512,2,2,2,1.037,8843.887
0,3114.868,54.31920351,0,1,1,1.121,0
0,7139.415,170.3065085,0,1,1,1.626,0
1,2951.58,151.2659587,2,3,3,1.181,9896.786
1,4278.458,153.5764032,2,2,2,1.22,15054.686
0,5460.656,153.017904,0,1,1,1.294,0
0,1451.566,81.23352701,0,1,1,1.13,0
1,1894.448,162.8349763,2,3,3,1.166,19333.144
1,3015.687,179.3198878,2,5,4,1.018,39121.583
0,1451.056,59.09448101,2,2,2,1.181,3755.13
0,3755.13,174.4992986,0,1,1,1.234,0
0,886.83,81.89309649,0,1,1,1.249,0
1,434.021,81.38419007,2,5,5,1.184,26019.518
1,4791.926,136.4916927,2,4,4,1.443,21227.592
1,3317.486,147.2879595,0,1,1,1.2,0
1,1950.514,139.6393569,2,7,6,1.137,26453.539
0,5912.641,128.3263341,0,1,1,1.315,0
0,738.835,129.7417103,0,1,1,1.154,0
1,1733.351,164.1277223,0,1,1,1.224,0
1,7273.894,130.5411485,0,1,1,1.384,0
1,548.592,166.1991546,2,2,2,1.537,1733.351
0,811.02,114.9891785,0,1,1,1.098,0
0,1192.875,157.4918342,0,1,1,1.697,0
0,707.032,145.104236,0,1,1,1.173,0
1,182.003,135.6088426,2,2,2,1.006,7273.894
0,580.345,146.3814804,0,1,1,1.554,0
1,496.533,161.6351499,0,1,1,1.132,0
1,1763.409,160.1816542,2,3,3,1.132,7455.897
0,416.819,118.1211232,0,1,1,1.15,0
1,464.492,170.1004123,2,4,4,1.011,9219.306
0,4161.724,113.5662142,2,2,2,1.153,580.345
0,3400.653,126.3363935,2,3,3,1.135,2281.943
1,843.862,158.3488863,2,6,4,1.126,12816.86
0,655.568,41.83665796,0,1,1,1.194,0
0,1468.369,73.85941441,0,1,1,1.1,0
0,503.48,131.6174568,0,1,1,1.173,0
1,777.775,157.0724514,0,1,1,1.09,0
1,1273.022,165.7370668,2,8,6,1.12,55095.768
0,4604.584,111.9478936,0,1,1,1.25,0
0,5954.69,76.37451488,2,2,2,1.494,777.775
1,1291.655,171.716515,2,9,7,1.153,56368.79
0,203.372,129.936103,0,1,1,1.483,0
1,5078.25,171.1898838,2,6,5,1.095,9683.798
1,1307.218,134.7353921,0,1,1,1.133,0
0,3585.285,121.4817453,2,2,2,1.128,1307.218
0,1410.806,90.69242409,0,1,1,1.093,0
0,462.016,55.96786211,0,1,1,1.055,0
0,5978.617,175.2909886,0,1,1,1.367,0
0,1271.489,144.8227103,2,8,6,1.024,14762.048
1,8658.254,164.1811711,2,7,5,1.192,13660.722
0,7926.428,118.8068394,0,1,1,1.282,0
0,479.19,133.727064,0,1,1,1.203,0
1,1505.595,135.3482153,2,3,3,1.128,8238.406
1,1484.288,123.3156791,2,9,7,1.242,22789.845
1,470.869,146.9176748,2,8,6,1.094,22318.976
1,665.177,115.7056585,0,1,1,1.027,0
0,460.959,81.62808459,0,1,1,1.098,0
1,1906.992,127.3098694,2,2,2,1.068,6331.414
1,7227.353,156.3749852,2,9,8,1.775,36447.719
0,1460.397,107.7796659,2,4,4,1.321,9744.001
1,4998.508,150.5859329,2,21,11,1.293,45171.338
0,1825.696,149.6606123,2,2,2,1.085,849.607
0,573.679,91.32669726,0,1,1,1.212,0
1,4658.925,80.61810715,2,22,12,1.044,50169.846
0,2084.25,128.1275078,2,13,9,1.175,43675.072
0,595.541,133.5954958,0,1,1,1.183,0
1,849.607,167.2987835,0,1,1,1.083,0
1,7443.721,146.2785556,2,10,8,1.206,24274.133
0,1225.189,43.78690784,0,1,1,1.289,0
1,2533.774,124.936631,2,12,9,1.064,31717.854
1,6331.414,158.5385536,0,1,1,1.212,0
0,1890.224,93.61738502,0,1,1,1.16,0
0,2105.788,110.9228812,2,2,2,1.125,3867.871
1,1704.592,156.9017371,0,1,1,1.194,0
