ID,Name,Next reach ID,C_S,N_R,N_S,D_R,M_U
0,三班溪,3,0,0,1,1,0.0
1,国宝溪,3,0,0,1,1,0.0
2,浐溪1,18,0,0,1,1,0.0
3,浐溪,18,0,2,2,2,25302.051
4,吴坊洋溪,390,1,0,1,1,0.0
5,吴坊洋溪1,390,0,0,1,1,0.0
6,尤溪8,14,0,0,1,1,0.0
7,尤溪,14,1,0,1,1,0.0
8,文川溪,10,1,0,1,1,0.0
9,文川溪4,10,0,0,1,1,0.0
10,文川溪,15,1,2,2,2,7981.874
11,粗溪,20,1,0,1,1,0.0
12,福诏溪,20,0,0,1,1,0.0
13,文川溪3,15,0,0,1,1,0.0
14,尤溪,16,1,2,2,2,22834.91
15,文川溪,21,1,2,3,3,12035.154
16,尤溪,32,1,2,3,3,31651.659
17,尤溪6,32,0,0,1,1,0.0
18,大樟溪,26,1,2,3,3,44962.91799999999
19,文川溪2,21,0,0,1,1,0.0
20,粗溪,41,0,2,2,2,30657.769999999997
21,文川溪,33,1,2,4,4,14410.510999999999
22,文川溪,57,1,0,1,1,0.0
23,文川溪1,33,0,0,1,1,0.0
24,梓溪,25,0,0,1,1,0.0
25,涌溪,26,0,2,2,2,51561.327000000005
26,大樟溪,36,1,2,5,4,75232.37699999998
27,尤溪7,16,0,0,1,1,0.0
28,大樟溪,41,1,2,9,7,119172.484
29,大喜溪,28,0,0,1,1,0.0
30,罗口溪4,39,0,0,1,1,0.0
31,琴源溪1,35,0,0,1,1,0.0
32,尤溪,54,1,2,4,4,41273.43699999999
33,文川溪,40,1,2,5,5,23265.657
34,大樟溪,28,1,2,8,6,111352.23599999999
35,琴源溪,40,0,2,2,2,14440.529999999999
36,大樟溪,34,1,2,6,5,84908.29199999999
37,尤溪5,54,0,0,1,1,0.0
38,涌溪,25,1,0,1,1,0.0
39,罗口溪,62,1,2,2,2,52192.346
40,文川溪,62,0,2,7,6,38394.71
41,大樟溪,43,1,2,11,8,132574.16000000003
42,琴源溪,35,1,0,1,1,0.0
43,大樟溪,44,1,2,12,9,155702.37900000002
44,大樟溪,58,1,2,13,10,161950.28600000002
45,温泉溪,58,0,0,1,1,0.0
46,长庆溪,34,0,2,2,2,10685.298000000003
47,罗口溪,39,1,0,1,1,0.0
48,长庆溪,46,1,0,1,1,0.0
49,富泉溪,43,0,0,1,1,0.0
50,大樟溪1,36,0,0,1,1,0.0
51,罗坊溪,60,1,0,1,1,0.0
52,罗坊溪1,60,0,0,1,1,0.0
53,一二五溪,46,0,0,1,1,0.0
54,尤溪,74,1,2,5,5,57906.018
55,罗口溪3,64,0,0,1,1,0.0
56,清凉溪,44,0,0,1,1,0.0
57,文川溪,67,0,2,3,3,32135.781000000003
58,大樟溪,59,0,2,14,11,163300.16000000003
59,闽江,59,0,2,197,35,504561.59900000005
60,罗坊溪,73,0,2,2,2,7122.843000000001
61,文江溪,74,0,2,5,5,41901.638999999996
62,罗口溪,68,1,2,9,7,61908.352
63,文江溪,66,1,2,3,3,24916.659999999996
64,罗口溪2,68,0,2,2,2,35330.796
65,罗口溪1,70,0,0,1,1,0.0
66,文江溪,61,1,2,4,4,27701.662999999993
67,沙溪,77,1,2,27,13,184394.79100000003
68,罗口溪,70,1,2,11,8,84431.594
69,文江溪,63,1,2,2,2,17276.113999999998
70,罗口溪,71,0,2,12,9,98895.366
71,九龙溪,73,1,2,21,10,120181.25300000001
72,罗口溪2,64,1,0,1,1,0.0
73,九龙溪,380,1,2,23,11,131811.382
74,尤溪,90,1,2,10,6,88601.798
75,尤溪4,90,0,0,1,1,0.0
76,文江溪1,61,0,0,1,1,0.0
77,沙溪,88,1,2,28,14,196506.02500000002
78,梅溪,83,1,0,1,1,0.0
79,沙溪5,77,0,0,1,1,0.0
80,文江溪3,66,0,0,1,1,0.0
81,文定溪,83,0,0,1,1,0.0
82,文江溪4,69,0,0,1,1,0.0
83,梅溪,91,1,2,2,2,20890.127
84,芝溪,91,0,0,1,1,0.0
85,九龙溪,71,1,2,9,8,96322.812
86,罗口溪,380,0,0,1,1,0.0
87,莘口溪,99,0,0,1,1,0.0
88,沙溪,89,1,2,29,15,208418.37000000002
89,沙溪,99,1,2,31,16,226135.66400000002
90,尤溪,115,1,2,11,7,112449.377
91,梅溪,95,1,2,3,3,24772.695999999996
92,九龙溪,85,1,2,8,7,82147.473
93,九龙溪,92,1,2,7,6,79530.587
94,昙溪,103,0,0,1,1,0.0
95,梅溪,103,1,2,4,4,36957.848
96,穆源溪,98,0,0,1,1,0.0
97,闽江,59,1,2,183,34,468042.356
98,闽江,97,1,2,182,33,459907.19100000005
99,沙溪,104,1,2,32,17,229003.81900000002
100,三七零溪,95,0,0,1,1,0.0
101,闽江,98,1,2,181,32,450789.92400000006
102,闽江,101,1,2,180,31,445310.3510000001
103,梅溪,102,0,2,5,5,41750.865
104,沙溪,139,1,2,33,18,236921.16
105,东牙溪,139,0,0,1,1,0.0
106,九龙溪6,93,0,0,1,1,0.0
107,青印溪,371,1,0,1,1,0.0
108,九龙溪7,114,0,0,1,1,0.0
109,九龙溪,93,1,2,6,5,56550.956
110,九龙溪5,92,0,0,1,1,0.0
111,鹰夏溪,104,0,0,1,1,0.0
112,青印溪1,371,0,0,1,1,0.0
113,嵩溪溪,85,0,0,1,1,0.0
114,九龙溪,109,1,2,2,2,19324.840999999997
115,尤溪,118,1,2,14,8,134454.813
116,尚格溪,101,0,0,1,1,0.0
117,尤溪2,130,0,0,1,1,0.0
118,尤溪,130,1,2,15,9,156920.59
119,九龙溪,114,1,0,1,1,0.0
120,峰福溪,97,0,0,1,1,0.0
121,水茜溪,109,0,2,4,4,46050.590000000004
122,黄沙溪,89,0,2,2,2,11762.315999999999
123,水茜溪,121,1,2,3,3,38982.057
124,豆土溪1,128,1,0,1,1,0.0
125,豆土溪2,128,0,0,1,1,0.0
126,黄沙溪,122,1,0,1,1,0.0
127,豆土溪,135,1,0,1,1,0.0
128,豆土溪1,135,0,2,2,2,17763.305
