ID,name,起点ID,终点ID,Length
0,三班溪,196,0,6367.981
1,国宝溪,197,0,25302.051
2,浐溪1,198,1,8866.571
3,浐溪,0,1,19660.867
4,吴坊洋溪,200,2,2645.925
5,吴坊洋溪1,202,2,1246.334
6,尤溪8,199,3,22834.91
7,尤溪,206,3,19398.013
8,文川溪,204,4,4770.621
9,文川溪4,205,4,7981.874
10,文川溪,4,5,4053.28
11,粗溪,201,6,30657.77
12,福诏溪,208,6,8702.702
13,文川溪3,207,5,10492.101
14,尤溪,3,7,8816.749
15,文川溪,5,8,2375.357
16,尤溪,7,9,9621.778
17,尤溪6,203,9,24495.926
18,大樟溪,1,10,30269.459
19,文川溪2,215,8,6146.357
20,粗溪,6,11,8129.445
21,文川溪,8,12,8855.146
22,文川溪,211,13,19176.885
23,文川溪1,213,12,7689.644
24,梓溪,212,14,26230.153
25,涌溪,14,10,14206.986
26,大樟溪,10,15,9675.915
27,尤溪7,218,7,15605.484
28,大樟溪,16,11,13401.676
29,大喜溪,210,16,16281.381
30,罗口溪4,214,17,14465.254
31,琴源溪1,216,18,11181.698
32,尤溪,9,19,16632.581
33,文川溪,12,20,15129.053
34,大樟溪,21,16,7820.248
35,琴源溪,18,20,3821.059
36,大樟溪,15,21,26443.944
37,尤溪5,220,19,10370.113
38,涌溪,209,14,51561.327
39,罗口溪,17,22,9716.006
40,文川溪,20,22,6790.178
41,大樟溪,11,23,23128.219
42,琴源溪,221,18,14440.53
43,大樟溪,23,24,6247.907
44,大樟溪,24,25,1349.874
45,温泉溪,217,25,19110.925
46,长庆溪,26,21,7191.144
47,罗口溪,219,17,52192.346
48,长庆溪,224,26,9585.585
49,富泉溪,225,23,12264.119
50,大樟溪1,228,15,32377.261
51,罗坊溪,227,27,6408.841
52,罗坊溪1,226,27,7122.843
53,一二五溪,229,26,10685.298
54,尤溪,19,28,30695.78
55,罗口溪3,223,29,14026.883
56,清凉溪,231,24,22071.499
57,文川溪,13,30,61916.613
58,大樟溪,25,31,48427.817
59,闽江,31,400,11066.825
60,罗坊溪,27,32,10192.281
61,文江溪,36,28,17822.768
62,罗口溪,22,33,22523.242
63,文江溪,38,34,2785.003
64,罗口溪2,29,33,19182.866
65,罗口溪1,230,35,11152.424
66,文江溪,34,36,14199.976
67,沙溪,30,37,12111.234
68,罗口溪,33,35,14463.772
69,文江溪,44,38,7640.546
70,罗口溪,35,39,4316.851
71,九龙溪,39,32,11630.129
72,罗口溪2,234,29,35330.796
73,九龙溪,32,40,13464.144
74,尤溪,28,41,23847.579
75,尤溪4,233,41,28139.7
76,文江溪1,238,36,14856.732
