FID,OBJECTID,fclass,name,主支流,语义一,上游河,Length,ID,起点X,起点y,终点x,终点y,下游起点X,下游起点Y,下游终点Y,下游终点X
0,1,3,三班溪,-1.000000000000000,0.000000000000000,0.000000000000000,6367.980999999999800,0.000000000000000,118.2890015,25.4542999,118.3040009,25.4780998,118.3040009,25.4780998,26.5587997,118.3610001
1,2,2,国宝溪,1.000000000000000,0.000000000000000,0.000000000000000,25302.050999999999000,1.000000000000000,118.1829987,25.5370998,118.3040009,25.4780998,118.3040009,25.4780998,26.5587997,118.3610001
2,3,3,浐溪1,-1.000000000000000,0.000000000000000,0.000000000000000,8866.570999999999900,2.000000000000000,118.3000031,25.5443993,118.3610001,25.5587997,118.3610001,25.5587997,25.7215004,118.4309998
3,4,2,浐溪,1.000000000000000,0.000000000000000,2.000000000000000,19660.866999999998000,3.000000000000000,118.3040009,25.4780998,118.3610001,25.5587997,118.3610001,25.5587997,25.7215004,118.4309998
4,5,3,吴坊洋溪,1.000000000000000,1.000000000000000,0.000000000000000,2645.925000000000200,4.000000000000000,117.0299988,25.5827007,117.0419998,25.5946007,117.0419998,25.5946007,25.7381001,117.0670013
5,6,4,吴坊洋溪1,-1.000000000000000,0.000000000000000,0.000000000000000,1246.334000000000100,5.000000000000000,117.0329971,25.5958996,117.0419998,25.5946007,117.0419998,25.5946007,25.7381001,117.0670013
6,7,3,尤溪8,-1.000000000000000,0.000000000000000,0.000000000000000,22834.910000000000000,6.000000000000000,117.8539963,25.5473995,117.8359985,25.6529999,117.8359985,25.6529999,25.6998997,117.8550034
7,8,2,尤溪,1.000000000000000,1.000000000000000,0.000000000000000,19398.012999999999000,7.000000000000000,117.7239990,25.6539993,117.8359985,25.6529999,117.8359985,25.6529999,25.6998997,117.8550034
8,9,3,文川溪,1.000000000000000,1.000000000000000,2.000000000000000,4770.621000000000100,8.000000000000000,116.7529984,25.6287003,116.7379990,25.6602993,116.7379990,25.6602993,25.6905994,116.7470016
9,10,4,文川溪4,-1.000000000000000,0.000000000000000,0.000000000000000,7981.873999999999800,9.000000000000000,116.7929993,25.6404991,116.7379990,25.6602993,116.7379990,25.6602993,25.6905994,116.7470016
10,11,3,文川溪,1.000000000000000,1.000000000000000,2.000000000000000,4053.280000000000200,10.000000000000000,116.7379990,25.6602993,116.7470016,25.6905994,116.7470016,25.6905994,25.7066002,116.7519989
11,12,3,粗溪,1.000000000000000,1.000000000000000,0.000000000000000,30657.770000000000000,11.000000000000000,118.6620026,25.5953999,118.7519989,25.6910992,118.7519989,25.6910992,25.7348995,118.7399979
12,13,4,福诏溪,-1.000000000000000,0.000000000000000,0.000000000000000,8702.701999999999300,12.000000000000000,118.8130035,25.6688995,118.7519989,25.6910992,118.7519989,25.6910992,25.7348995,118.7399979
13,14,4,文川溪3,-1.000000000000000,0.000000000000000,0.000000000000000,10492.101000000001000,13.000000000000000,116.8040009,25.6609993,116.7470016,25.6905994,116.7470016,25.6905994,25.7066002,116.7519989
14,15,2,尤溪,1.000000000000000,1.000000000000000,2.000000000000000,8816.748999999999800,14.000000000000000,117.8359985,25.6529999,117.8550034,25.6998997,117.8550034,25.6998997,25.7129002,117.9120026
15,16,3,文川溪,1.000000000000000,1.000000000000000,2.000000000000000,2375.357000000000000,15.000000000000000,116.7470016,25.6905994,116.7519989,25.7066002,116.7519989,25.7066002,25.7336998,116.7860031
16,17,2,尤溪,1.000000000000000,1.000000000000000,2.000000000000000,9621.778000000000200,16.000000000000000,117.8550034,25.6998997,117.9120026,25.7129002,117.9120026,25.7129002,25.8052006,117.9710007
17,18,3,尤溪6,-1.000000000000000,0.000000000000000,0.000000000000000,24495.925999999999000,17.000000000000000,118.0070038,25.5986996,117.9120026,25.7129002,117.9120026,25.7129002,25.8052006,117.9710007
18,19,2,大樟溪,1.000000000000000,1.000000000000000,2.000000000000000,30269.458999999999000,18.000000000000000,118.3610001,25.5587997,118.4309998,25.7215004,118.4309998,25.7215004,25.7649994,118.4710007
19,20,4,文川溪2,-1.000000000000000,0.000000000000000,0.000000000000000,6146.357000000000000,19.000000000000000,116.7119980,25.7336006,116.7519989,25.7066002,116.7519989,25.7066002,25.7336998,116.7860031
20,21,3,粗溪,-1.000000000000000,0.000000000000000,2.000000000000000,8129.444999999999700,20.000000000000000,118.7519989,25.6910992,118.7399979,25.7348995,118.7399979,25.7348995,25.8370991,118.8820038
21,22,3,文川溪,1.000000000000000,1.000000000000000,2.000000000000000,8855.146000000000600,21.000000000000000,116.7519989,25.7066002,116.7860031,25.7336998,116.7860031,25.7336998,25.8057995,116.8020020
22,23,2,文川溪,1.000000000000000,1.000000000000000,0.000000000000000,19176.884999999998000,22.000000000000000,116.9789963,25.7068996,117.0670013,25.7381001,117.0670013,25.7381001,25.9757996,117.3119965
23,24,4,文川溪1,-1.000000000000000,0.000000000000000,0.000000000000000,7689.644000000000200,23.000000000000000,116.8109970,25.7138004,116.7860031,25.7336998,116.7860031,25.7336998,25.8057995,116.8020020
24,25,4,梓溪,-1.000000000000000,0.000000000000000,0.000000000000000,26230.152999999998000,24.000000000000000,118.1989975,25.7117996,118.3560028,25.7548008,118.3560028,25.7548008,25.7215004,118.4309998
25,26,3,涌溪,-1.000000000000000,0.000000000000000,2.000000000000000,14206.986000000001000,25.000000000000000,118.3560028,25.7548008,118.4309998,25.7215004,118.4309998,25.7215004,25.7649994,118.4710007
26,27,2,大樟溪,1.000000000000000,1.000000000000000,2.000000000000000,9675.915000000000900,26.000000000000000,118.4309998,25.7215004,118.4710007,25.7649994,118.4710007,25.7649994,25.8083000,118.5859985
27,28,3,尤溪7,-1.000000000000000,0.000000000000000,0.000000000000000,15605.484000000000000,27.000000000000000,117.8180008,25.7854004,117.8550034,25.6998997,117.8550034,25.6998997,25.7129002,117.9120026
28,29,2,大樟溪,1.000000000000000,1.000000000000000,2.000000000000000,13401.675999999999000,28.000000000000000,118.6419983,25.7900009,118.7399979,25.7348995,118.7399979,25.7348995,25.8370991,118.8820038
29,30,3,大喜溪,-1.000000000000000,0.000000000000000,0.000000000000000,16281.380999999999000,29.000000000000000,118.5770035,25.7014999,118.6419983,25.7900009,118.6419983,25.7900009,25.7348995,118.7399979
30,31,3,罗口溪4,-1.000000000000000,0.000000000000000,0.000000000000000,14465.254000000001000,30.000000000000000,116.6480026,25.7196999,116.7170029,25.7956009,116.7170029,25.7956009,25.8325996,116.7740021
31,32,5,琴源溪1,-1.000000000000000,0.000000000000000,0.000000000000000,11181.698000000000000,31.000000000000000,116.8649979,25.7486000,116.8249969,25.7945995,116.8249969,25.7945995,25.8057995,116.8020020
32,33,2,尤溪,1.000000000000000,1.000000000000000,2.000000000000000,16632.580999999998000,32.000000000000000,117.9120026,25.7129002,117.9710007,25.8052006,117.9710007,25.8052006,25.9403000,118.0429993
33,34,3,文川溪,1.000000000000000,1.000000000000000,2.000000000000000,15129.053000000000000,33.000000000000000,116.7860031,25.7336998,116.8020020,25.8057995,116.8020020,25.8057995,25.8325996,116.7740021
34,35,2,大樟溪,1.000000000000000,1.000000000000000,2.000000000000000,7820.247999999999600,34.000000000000000,118.5859985,25.8083000,118.6419983,25.7900009,118.6419983,25.7900009,25.7348995,118.7399979
35,36,4,琴源溪,-1.000000000000000,0.000000000000000,2.000000000000000,3821.059000000000200,35.000000000000000,116.8249969,25.7945995,116.8020020,25.8057995,116.8020020,25.8057995,25.8325996,116.7740021
36,37,2,大樟溪,1.000000000000000,1.000000000000000,2.000000000000000,26443.944000000000000,36.000000000000000,118.4710007,25.7649994,118.5859985,25.8083000,118.5859985,25.8083000,25.7900009,118.6419983
37,38,3,尤溪5,-1.000000000000000,0.000000000000000,0.000000000000000,10370.112999999999000,37.000000000000000,117.8980026,25.8036995,117.9710007,25.8052006,117.9710007,25.8052006,25.9403000,118.0429993
38,39,3,涌溪,1.000000000000000,1.000000000000000,0.000000000000000,51561.326999999997000,38.000000000000000,118.1370010,25.6732006,118.3560028,25.7548008,118.3560028,25.7548008,25.7215004,118.4309998
