C_S,L_R,A_I,N_R,N_S,D_R,C_R,M_U,main
0,6367.981,152.9380035,0,1,1,2.10800004,0,0
0,25302.051,64.44059753,0,1,1,1.786999941,0,1
0,8866.571,125.8649979,0,1,1,1.36500001,0,0
0,19660.867,168.621994,2,2,2,1.873000026,25302.051,1
1,2645.925,146.5200043,0,1,1,1.511999965,0,1
0,1246.334,89.92500305,0,1,1,1.292999983,0,0
0,22834.91,151.0509949,0,1,1,2.002000093,0,0
1,19398.013,109.5709991,0,1,1,1.649000049,0,1
1,4770.621,141.6490021,0,1,1,1.287999988,0,1
0,7981.874,96.582901,0,1,1,1.320000052,0,0
1,4053.28,179.272995,2,2,2,1.192000031,7981.874,1
1,30657.77,125.5979996,0,1,1,2.203999996,0,1
0,8702.702,125.8040009,0,1,1,1.287999988,0,0
0,10492.101,104.0049973,0,1,1,1.547000051,0,0
1,8816.749,124.310997,2,2,2,1.649999976,22834.91,1
1,2375.357,147.1490021,2,3,3,1.325000048,12035.154,1
1,9621.778,134.1690063,2,3,3,1.585999966,31651.659,1
0,24495.926,112.9140015,0,1,1,1.562999964,0,0
1,30269.459,161.5399933,2,3,3,1.620000005,44962.918,1
0,6146.357,101.9520035,0,1,1,1.220000029,0,0
0,8129.445,114.5709991,2,2,2,1.656999946,30657.77,0
1,8855.146,142.6909943,2,4,4,1.952000022,14410.511,1
1,19176.885,154.3040009,0,1,1,1.970000029,0,1
0,7689.644,119.9509964,0,1,1,2.289999962,0,0
0,26230.153,137.1100006,0,1,1,1.536000013,0,0
0,14206.986,103.6480026,2,2,2,1.659000039,51561.327,0
1,9675.915,152.4049988,2,5,4,1.578999996,75232.377,1
0,15605.484,97.25160217,0,1,1,1.574000001,0,0
1,13401.676,109.6289978,2,9,7,1.146000028,119172.484,1
0,16281.381,91.82659912,0,1,1,1.398000002,0,0
0,14465.254,165.1360016,0,1,1,1.325000048,0,0
0,11181.698,156.5130005,0,1,1,1.73300004,0,0
1,16632.581,175.647995,2,4,4,1.432000041,41273.437,1
1,15129.053,125.2429962,2,5,5,1.930999994,23265.657,1
1,7820.248,168.0449982,2,8,6,1.276000023,111352.236,1
0,3821.059,161.6699982,2,2,2,1.404000044,14440.53,0
1,26443.944,137.6060028,2,6,5,2.022000074,84908.292,1
0,10370.113,117.0100021,0,1,1,1.370000005,0,0
1,51561.327,131.5899963,0,1,1,2.089999914,0,1
1,9716.006,146.4060059,2,2,2,1.356999993,52192.346,1
0,6790.178,115.822998,2,7,6,1.669999957,38394.71,0
1,23128.219,172.1100006,2,11,8,1.25999999,132574.16,1
