iter	Logloss
0	0.6678436834
1	0.6439010343
2	0.6250634211
3	0.6051299494
4	0.5843872625
5	0.5677038574
6	0.5527395907
7	0.5367704634
8	0.5232131126
9	0.5074033425
10	0.4934906561
11	0.4796908292
12	0.4660029741
13	0.4530617454
14	0.4410735529
15	0.4299702037
16	0.418051841
17	0.4081650058
18	0.3973474399
19	0.3879509388
20	0.3786334229
21	0.36867587
22	0.3598090432
23	0.3507383034
24	0.3427607866
25	0.3352955766
26	0.3284327836
27	0.3215201083
28	0.3151798873
29	0.3082266513
30	0.3016116056
31	0.2958836226
32	0.2897033414
33	0.2832289262
34	0.2768107466
35	0.2706389271
36	0.2655095603
37	0.2595362993
38	0.2544883867
39	0.2493648737
40	0.2442405839
41	0.2389788818
42	0.2342734597
43	0.2294304033
44	0.2254127919
45	0.2213381542
46	0.2177840077
47	0.2140369207
48	0.2099223189
49	0.2062772161
50	0.2026225974
51	0.1991281267
52	0.1950818426
53	0.191956038
54	0.1886234075
55	0.1857512873
56	0.1828155795
57	0.1795982083
58	0.1768204152
59	0.1738535794
60	0.1710205633
61	0.1684083418
62	0.165325789
63	0.1625156195
64	0.1599578996
65	0.1575396451
66	0.1549961159
67	0.1526013877
68	0.1501714533
69	0.1478627985
70	0.1458451566
71	0.1439499179
72	0.1417764282
73	0.1397111511
74	0.1379818309
75	0.1363022822
76	0.1346183222
77	0.1330163713
78	0.131477675
79	0.129992329
80	0.1282602761
81	0.1266400979
82	0.1252591497
83	0.1239564237
84	0.1224075179
85	0.1208523005
86	0.1196409607
87	0.1183264992
88	0.1171152011
89	0.1156792658
90	0.1145365836
91	0.1131844122
92	0.1121047835
93	0.1108327762
94	0.1096361056
95	0.1083786704
96	0.1072265348
97	0.1060482649
98	0.1049573309
99	0.1038951804
