iter	Passed	Remaining
0	3	388
1	6	341
2	10	342
3	14	341
4	16	322
5	20	324
6	24	321
7	27	319
8	31	316
9	34	313
10	38	313
11	42	314
12	46	312
13	50	312
14	54	307
15	57	303
16	60	297
17	64	292
18	67	289
19	71	285
20	74	281
21	78	277
22	81	274
23	85	270
24	89	267
25	92	264
26	96	260
27	100	257
28	103	254
29	107	250
30	111	247
31	114	243
32	118	240
33	121	236
34	125	232
35	128	229
36	132	225
37	135	221
38	139	217
39	142	214
40	146	210
41	149	206
42	153	202
43	156	199
44	160	195
45	163	192
46	166	188
47	170	184
48	173	180
49	177	177
50	180	173
51	184	170
52	187	166
53	191	162
54	194	159
55	197	155
56	201	151
57	204	148
58	208	144
59	211	141
60	215	137
61	218	134
62	221	130
63	225	126
64	229	123
65	232	119
66	236	116
67	240	113
68	243	109
69	247	105
70	250	102
71	254	98
72	257	95
73	261	91
74	264	88
75	268	84
76	271	81
77	275	77
78	278	74
79	282	70
80	285	66
81	289	63
82	292	59
83	296	56
84	299	52
85	303	49
86	307	45
87	311	42
88	314	38
89	318	35
90	321	31
91	325	28
92	329	24
93	332	21
94	336	17
95	340	14
96	344	10
97	348	7
98	352	3
99	355	0
